ICAO  Decription            FRQ      Phone no.          Name
EDDC  BERLIN RADAR          125.620  0169686867125620  Dresden             
EDDC  ATIS                  118.870  0169686867118870  Dresden             
EDDC  GND                   121.900  0169686867121900  Dresden             
EDDE  ATIS                  133.450  0169686869133450  Erfurt              
EDDE  ATIS                  136.160  0169686869136160  Erfurt              
EDDE  GND                   119.700  0169686869119700  Erfurt              
EDDE  GND                   121.750  0169686869121750  Erfurt              
EDDE  MUNCHEN RADAR         132.300  0169686869132300  Erfurt              
EDDE  TWR                   121.150  0169686869121150  Erfurt              
EDDF  GND                   121.800  0169686870121800  Frankfurt-main      
EDDF  TWR                   127.320  0169686870127320  Frankfurt-main      
EDDF  DELIVERY              121.900  0169686870121900  Frankfurt-main      
EDDF  LANGEN RADAR          136.120  0169686870136120  Frankfurt-main      
EDDF  ATIS                  118.720  0169686870118720  Frankfurt-main      
EDDG  GND                   121.870  0169686871121870  Muenster Osnabrueck 
EDDG  LANGEN INFO           129.870  0169686871129870  Muenster Osnabrueck 
EDDG  ATIS                  127.170  0169686871127170  Muenster Osnabrueck 
EDDG  LANGEN INFO           123.520  0169686871123520  Muenster Osnabrueck 
EDDG  TWR                   129.800  0169686871129800  Muenster Osnabrueck 
EDDG  LANGEN RADAR          129.300  0169686871129300  Muenster Osnabrueck 
EDDH  ATIS                  123.120  0169686872123120  Hamburg Fulsbuettel 
EDDH  GND                   121.800  0169686872121800  Hamburg Fulsbuettel 
EDDH  DIRECTOR              118.200  0169686872118200  Hamburg Fulsbuettel 
EDDH  BREMEN RADAR          134.250  0169686872134250  Hamburg Fulsbuettel 
EDDH  BREMEN RADAR          124.220  0169686872124220  Hamburg Fulsbuettel 
EDDH  DIRECTOR              124.620  0169686872124620  Hamburg Fulsbuettel 
EDDH  TWR                   126.850  0169686872126850  Hamburg Fulsbuettel 
EDDI  ATIS                  126.020  0169686873126020  Berlin Tempelhof    
EDDI  BERLIN DEP            120.620  0169686873120620  Berlin Tempelhof    
EDDI  BERLIN DIR            121.120  0169686873121120  Berlin Tempelhof    
EDDI  BERLIN ARR            126.420  0169686873126420  Berlin Tempelhof    
EDDI  BERLIN DIR            136.100  0169686873136100  Berlin Tempelhof    
EDDI  GND                   121.950  0169686873121950  Berlin Tempelhof    
EDDI  TWR                   119.570  0169686873119570  Berlin Tempelhof    
EDDI  TWR                   118.100  0169686873118100  Berlin Tempelhof    
EDDI  BERLIN DEP            119.500  0169686873119500  Berlin Tempelhof    
EDDI  BERLIN INFO           132.650  0169686873132650  Berlin Tempelhof    
EDDI  BERLIN ARR            119.620  0169686873119620  Berlin Tempelhof    
EDDK  CLNC DEL              121.850  0169686875121850  Koln Bonn           
EDDK  TWR                   124.970  0169686875124970  Koln Bonn           
