File generated by gen_phonebook.pl - 2013-09-05 15:54:57 UTC
8952 airports and 3146 navaids are present in this file (38 freq skipped) 

ICAO  Decription            FRQ      Phone no.          Name
 1K2  CTAF                  122.900  0132497550122900  LINDSAY MUNI        
 1K4  CTAF/UNICOM           122.700  0132497552122700  DAVID JAY PERRY     
 1K4  OKE CITY APP/DEP      120.450  0132497552120450  DAVID JAY PERRY     
 1K7  CTAF                  122.900  0132497555122900  FREDONIA            
 1K9  CTAF/UNICOM           122.800  0132497557122800  SATANTA MUNI        
 1L0  CTAF/UNICOM           122.700  0132497648122700  SAINT JOHN THE BAPTIST PARISH
 1L0  NEW ORLEANS APP/DEP   125.500  0132497648125500  SAINT JOHN THE BAPTIST PARISH
 1L1  CTAF/UNICOM           122.800  0132497649122800  LINCOLN COUNTY      
 1L3  CTAF                  122.900  0132497651122900  SEARCHLIGHT         
1L50  UNICOM                123.000  0149765348123000  CAL MIRE            
 1L7  CTAF/UNICOM           122.800  0132497655122800  ESCALANTE MUNI      
 1L8  CTAF/UNICOM           122.800  0132497656122800  GENERAL DICK STOUT FIELD
 1L9  CTAF/UNICOM           122.800  0132497657122800  PAROWAN             
 1M2  CTAF                  122.900  0132497750122900  BELZONI MUNI        
 1M4  CTAF/UNICOM           122.800  0132497752122800  POSEY FLD           
 1M5  CTAF/UNICOM           122.800  0132497753122800  PORTLAND MUNI       
 1M5  NASHVILLE APP/DEP     119.350  0132497753119350  PORTLAND MUNI       
 1M5  AWOS 3                118.175  0132497753118175  PORTLAND MUNI       
 1M6  CTAF                  122.900  0132497754122900  STANDARD FLD        
 1M9  CTAF/UNICOM           122.800  0132497757122800  LAKE BARKLEY STATE PARK
 1M9  AWOS 3                119.025  0132497757119025  LAKE BARKLEY STATE PARK
 1MO  CTAF                  122.900  0132497779122900  MOUNTAIN GROVE MEM  
 1N1  CTAF/UNICOM           122.800  0132497849122800  SANDIA AIRPARK ESTATES EAST
 1N7  CTAF/UNICOM           123.000  0132497855123000  BLAIRSTOWN          
 1N7  ALLENTOWN APP DEP     119.650  0132497855119650  BLAIRSTOWN          
 1N7  NEW YORK APP/DEP      127.600  0132497855127600  BLAIRSTOWN          
 1N9  CLNC DEL              118.900  0132497857118900  ALLENTOWN QUEEN CITY MUNI
 1N9  CTAF/UNICOM           122.700  0132497857122700  ALLENTOWN QUEEN CITY MUNI
 1N9  APP/DEP               118.200  0132497857118200  ALLENTOWN QUEEN CITY MUNI
 1N9  APP/DEP               119.650  0132497857119650  ALLENTOWN QUEEN CITY MUNI
 1N9  APP/DEP               124.450  0132497857124450  ALLENTOWN QUEEN CITY MUNI
 1O1  CTAF                  122.800  0132497949122800  GRANDFIELD MUNI     
